title,description,topics
Dental School,"So i have attended the OUF this year as im currently in grade 12 and heading to uni next year. i went to the U of T presentation that was talking mainly about graduate studies. It talked about dentistry and how they dont care what undergrad program i take as long as i get a VERY high GPA and pass the DAT. This made me wonder, would it be better to go to a university that is less competitive to get a higher GPA? should I choose easier programs to get the high GPA? during the presentation, they also mentioned that most people who get into dental school have a GPA of 3.9 or higher. 3.9 is a VERY high GPA.","University of Toronto,McMaster University,Education - Grades 9 to 12"
Chance of McGill Acceptance,"I just applied to McGill for BSc - Biology, Biomed, and Life Sciences and I am wondering what my chances are of getting in. I am taking a 5th year in high school because I miss a lot of school due to ski racing, so I spaced my courses out and took 3 extra spares. My average for grade 11 was 88% and I took 5 grade 12 courses last year with an average of 87%. Here are my marks:",McGill University
Queen's GPA?,"I'm considering applying to Queens for the health sciences program with the goal of pursuing a post-graduate program. How is Queen's in terms of achieving a high/competitive GPA? Is it similar to schools like UofT, McMaster, McGill etc. that are notoriously known for making it difficult to achieve a high GPA/having a great amount of work?","McMaster University,Queen's University,University of Toronto,McGill University"
How does UBC accept applicants?,If I apply for early admission and don't get in am I automatically reevaluated for the second round of admissions? For the second time do they use your first choice of program or second choice?,"University of British Columbia,Simon Fraser University"
Opinions- Queen's Commerce Vs. U of T Rotman Commerce Vs. Western Ivey,The big question of my year. I'm waiting to apply to universities to get my undergrad. My long term goal is to work for myself through investing and creating businesses and such. I do not want to work in the big firms like Deloitte or Ernst and Young for a majority of my professional career. I wanted to get your opinion on what Rotman is like and what Queens commerce is like and how it would play out long-term. Western Ivey info would be great too!,Business
How to become a vet?,Hi! I'm a Grade 12 student in Ontario. I was wondering what programs in university or college would help me in terms of becoming a vet?,"Health and Wellness - Veterinary Technician / Animal Care,Health Professions and Clinical Sciences - Veterinary Medicine"
Western Business Programs,"Hi. I was wondering if other than Ivey, Western has business programs such as ones that would get you a BBA or a Bcomm? when I look online the only business that they seem to have is the dan management and ivey... does the regular school offer any business?","BBA,Business - Commerce,University of Western Ontario"
First Year Queen's Commerce Student (ASK ME ANYTHING),Hey guys I am a first year commerce student at Queen's and last year I was constantly on this site looking for info about what uni to go to. So I want you guys to get the same help that I did. Feel free to ask me anything about the program/student life,"Business,Business - Commerce,Queen's University"
carleton vs uoit,"i had the option to go to carleton or uoit for engineering but i choose uoit and i regret it, do you think i should of went to carleton instead too?","Carleton University,University of Ontario Institute of Technology"
High School Courses,Hello Future Planners,Urban and Regional Planning
First year University,"I was just wondering, for those who had high 90 averages in highschool, how was you experience during ur first year of uni?","McMaster University,University of Toronto,Education - Grades 9 to 12,University of Waterloo,University of Guelph"
Best Undergrad to Prepare for Law School?,"Hi I’m a grade 12 student and I’m currently considering which programs to apply for. I’m considering pursuing public policy, political science, business or global affairs. I’ve heard from multiple people that certain degrees prepare you better for the LSAT and law school in general.","Carleton University,University of Ottawa,Queen's University"
McMaster Health Sciences 2019 Applicants,"Hey, can’t wait till they post the essay questions",McMaster University
My Scholarship Tips,"Hey guys, I’ve been spending a lot of time lately doing research on the best way to find and apply to scholarships. Thought I’d share my findings :)",Scholarships
Potential York Student (help please),Hi!,York University
Need help with decision about engineering.,"Hi,","Ryerson University,Queen's University,Engineering - Mechanical,Business - Administration,University of Toronto,Criminology,McMaster University"
For diabetic diet,How we can control diabetes symptoms using herbal treatment,A Better Tomorrow Services Health Training
Is it still possible to get from an 81-85 in Biology?,"I got my first unit test back today and I failed terribly. I got around a 46%. However, I did get an 81% and an 86% on my first two quizzes... I'm aiming for an 85 in the course. Is it still possible to do so? If so, what would I need to get on the next tests?",Academics
Schools similar to McMaster,"Soon I am going to start submitting my applications to universities for their business programs and one of the schools I have chosen to apply to in McMaster. I fell in love with the campus and the program had the courses that I was looking for. However, I need backup schools just in case and I am struggling to find other schools that have similar aspects as to what McMaster has.",McMaster University
I went from mixed math to college math... now what?,Ok so I'm in grade 11 and I always struggled at math so in grade 9 i took applied math. When it came time to choose classes for grade 11 I decided to take mixed math because I thought I could handle it but in the little bit I was there I started to fail by 2 percent. My family and the guidance counselors at my school thought it would be a good idea to switch from mixed to college math and after a lot of contemplation I just said screw it and I made the switch. Now I feel like I just closed so many doors and I feel like I'll never be successful without at least mathematics of data management which is the class you take in grade 13 after you take mixed in grade 11 but now I have to drop math next year and I'm scared I have no options now and that without math I'll work a minimum wage job for the rest of my life or something. I was also thinking about going into business but now no business program is going to accept me without university math. So should I just scrap that plan all together and just graduate high school and apply to a fast food restaurant and work their for the rest of my life? Because I've seemed to have closed many significant doors and now I feel trapped and stressed what do I do!!!,High School
Course Help Grade 12 (Future Health/Life Sci Student),"I am a Grade 11 student looking for some advice on what courses I should take in Grade 12 , based on my goal to get into health/life sciences. This is what I am planning to take at the moment.","McMaster University,University of Toronto"
Medical Aesthetician Course,Hi,All Beauty College
"Western Med Sci: Just finished 3rd year, cumulative 4.0, AMA","Basically what I said above. I just finished my third year at Western Med Sci! I know choosing a university is tough (I had a really tough time choosing) and trying to determine how you'll do at university is stressful, but let me know what questions you have and I'll do my best to answer them!","Medical Sciences,University of Western Ontario"
What are the hardest chapters in Pre Cal 12 (British Columbia),"There are 7 chapters,","University of British Columbia,High School"
1st Year McMaster Health Science Student. Ask me Questions!!!!!,,"High School,Academics,Scholarships,McMaster University"
U of T vs Ryerson for Life Sciences,"I'm in grade 12 and right now U of T (St. George) and Ryerson are my top choices for either a biology or chemistry major (or biochemistry but that's only at u of t). I want to eventually become a high school bio/chem teacher (with both bio and chem as my teachables) which means i would most likely going to u of t for a master's in education. I just really need some comments on the overall experience at Ryerson versus that of U of T. Also, would going to U of T mean it's harder to maintain a higher GPA? Would going to U of T somehow increase my chances of getting into u of t for my masters? Anything helps (except comments about no teaching jobs of course)!","University of Toronto,Ryerson University"
First Year Western Med Sci and Scholar’s Elective Student: AMA :),"I’m a first year Western Med Sci student in scholars electives too, ask me anything and I will try to answer!","High School,Scholarships,Academics,Queen's University,University of Western Ontario,University of Toronto,McMaster University,Student Life"
Political science at Mcmaster,"Hi guys. So I’m a first year philosophy student at ryerson right now, but ryerson has kinda disappointed me. It’s like a high school and is not like a university at all. I’m thinking about changing both my major and my university and thinking of applying to mcmaster and study political science. Do you know how mcmaster’s social science is? Is it a good choice or no?",Political Sciences
McMaster a Party School?,"Is McMaster University considered to be a hard core party school comparing to western, laurier, etc.?",McMaster University
Waterloo vs Western Honours Science?,"Hi guys. As uni applications are starting soon, I am wondering which program is better to apply to. Can anyone tell me which is better as to the structure of the program and like what path it can lead me to?","University of Waterloo,Western University of Health Sciences"
Electrical Engineering at Waterloo/ ECE at UofT,Do I have a chance to get accepted at either school if my average is between 85-87?,"University of Waterloo,Engineering,University of Toronto"
Can I bump my grades up?,"Hi, im currentley in grade 11. Just to begin with if you are here to brag about how ""stupid"" or ""dumb"" I am, just click off this please. I'm here trying to be honest and translucent about my high school career, so please respect that and put that in mind. I'd say im pretty smart, but it really depends on what kind of teachers I have, since they matter the most for my education. All the courses I am taking are university courses.","Education - Grades 9 to 12,Engineering - Software"
FIRST YEAR YORK BIOMED AMA!!,"Ask away, I am more than happy to answer!!","York University,Biological and Biomedical Sciences"
Questions about Queens University,"Is a 86% average good enough to get me to Queen's University? What is the tuition for the political, philosophy, economics program?",Queen's University
"AMA: Brock BAcc Graduate, Carleton MAcc Graduate, Big 4 Employee","My name is Neal, and","Carleton University,Finance,Ontario Schools,Loans,Brock University,Business - International,Business - Accounting,Study Tips,Masters,Battle of the Schools,OSAP,Jobs,Internships,Volunteering,Stress Management,Courses,BBA,Business,Interviews,Business - Business Economics,Room & Board,General,Summer Jobs"
Will I get early acceptance into life science of general science programs with my current marks?,"I have a gr 11 avg of 93.16 (without ENG3U) and 92 with ENG3U. I wanted to know if its possible for me to get early acceptance into UWO gen. sci/ med. sci, Mac life sci, Queen's sci, or UTM /UTSG life sci.",University of Western Ontario
"planning on going into CS - do i need sciences? if so, how much???","I'm currently in grade 11 but want to take 2 spares next year, so I'm fast tracking. Last year I fast tracked 11 bio and functions, this semester I have 12 functions. I want to fast track something next semester too; I currently have 12 bio for next semester but am planning to switch into 12 pop culture (U level course, average booster) instead. my plans for next year courses are:",Computer Science
Applying to too many programs?,"I anticipate a top 6 average of mid-high 80""s. Is it too much to apply to all of these programs? I think I'm splitting the price with my parents... Western and Queen's are my top choices, but I know that they are quite competitive schools :/","Brock University,University of Ontario Institute of Technology,McMaster University,Trent University,Queen's University,University of Western Ontario,University of Guelph"
Commerce at Uni. of Guelph,"What are your guy's thoughts on going to UofG to study commerce? Is it a good school, and will I get a ""good"" job after?","University of Guelph,McMaster University"
CONCORDIA UNIVERSITY BUSINESS?,"hey, i know not many people from Quebec are on here, but just wondering. Is concordia seen as a good school for business? is the campus nice?",Concordia University
Engineering job experience programs,,"Queen's University,Engineering,University of Waterloo,Chemical Engineering,University of Toronto,University of Ottawa"
What are the minimum average marks to go to the U of T,I am in grade 11 right now and I am curious about the minimum average marks to go to the U of T.,University of Toronto
McMaster vs. Waterloo,"Hi there, I'm considering schools for Life Science and I've narrowed my top options down to Waterloo and McMaster. I like both schools but I would like some information regarding student life, clubs, etc. at both schools so I can make a better choice. If anyone could help me, it would be much appreciated.","McMaster University,Ontario Schools,University of Waterloo"
"From your experience, what were the highs and lows at your UofT Colleges?","Hi all,",University of Toronto
Will universities only look at top 6?,"Hi, I'm a grade 12 student who is interested in applying for nursing. This year I am taking bio, chem, data, english and earth science. In grade 11 I took two grade 12 courses- families in canada and challenge and change in society. I got a 97% and 100% in those 2 courses. I know chem, data, english and bio will be calculated in my average because they're required for nursing, and I assume families in canada and challenge and change in society will be my best two other courses that will also be calculated. I assume I won't get any better than a 97% in earth science.","Ryerson University,University of Western Ontario,Trent University,University of Ottawa,Brock University,McMaster University"
How is Business Administration (Laurier) and Computer Science (Waterloo) Double Degree,i feel like this is a really interesting program. Are there anyone who's studying in this program right now. how's this program and any suggestions??,"University of Waterloo,Computer Science,BBA,Wilfrid Laurier University"
Nursing vs. midwifery right out of high school? Working as a midwife in the USA?,Hi!,"McMaster University,Laurentian University,Ryerson University"
Truth about University,"I am currently in my first year of engineering at Ryerson University. So far a month at university I thought it would be great for me to leave some comments about the reality of studying in an university. These are in fact, based from SOLELY WHAT I EXPERIENCED AND MANY OF MY FRIENDS IN THEIR FIRST YEAR. If there are disagreements feel free to discuss them.","Student Life,Engineering"
Health Science Degree,"Is there any career you can do with solely a health sci degree? I do plan on continuing school after undergrad as of now, but I also don't want to put myself into a position where I absolutely have no other choice if I do feel done w school after. My other option is nutrition, but there are health science programs avaliable at more schools, and the courses seem more interesting to me...","Carleton University,Queen's University,University of Ontario Institute of Technology,University of Guelph,Ryerson University,Brock University,University of Ottawa,University of Western Ontario,Trent University"
Engineering for Western 2018,"I am thinking of applying to western for engineering this year and was wondering what average I should aim for. I think I can maintain an average of 88-89% by the end of the year, will I have a good chance? If you were accepted last year what average did you apply with?","Western University of Health Sciences,Engineering"
Nursing (URGENT)- Need tips from past nursing students or current too!!,"Hi guys & girls,","Ryerson University,McMaster University,University of Ottawa,York University,High School"
Engineering co op waterloo,"Which engineering co op (other than software) pays the most (and no, I'm not basing my decision on this, but I'm wondering where people find the most opportunities)",University of Waterloo
Victory Lap?,"So this is my final year of high school and I have taken the following: ENG4U, MHF4U, SCH4U, SBI4U, SES4U, PSK4U, TPJ4M. I have been looking at some university programs and they require MHF4U, ENG4U, SCH4U, SBI4U, SPH4U, MCV4U. I don't have calculus selected and I did not take 11 physics. Should I stay behind a year and get 11 and 12 physics and calculus under my belt before making a decision on what I want to do? Or should I just choose something that doesn't require physics and calculus and move on?",Biological and Biomedical Sciences
Chemistry 11 Tips?,"I got 87% on the first quiz and I'm already panicking. My goal is a 90%, yeah this may sound very ""typical asian esque"", but I assure you it's because the program I want to attend /could potentially/ have a 90% (it has not been determined yet but ranges from 87-90%) cut off so preparing to do well in Grade 12 by doing well in Grade 11 is of utmost importance to me.",High School
ADVANCED FUNCTIONS IS DRAGGING ME DOWN,"Out of the 3 courses I have this semester, advanced functions is by the far the worst. Even when I study, and makes notes I still do terrible. Mainly its that I always feel like I don't have enough time on tests, which makes me unable to finish questions. I really don't want to use this mark in my Top 6. On Uni websites I looked at, for life sciences, it usually says English, bio, chem, and calculus,  or sometimes (one of advanced functions and calculus) but not just advanced functions. So is there a chance they won't include this mark?","Academics,Stress Management,High School"
What do universities look at in early acceptance?,Last year I didn't do as well as I'd hoped but I still got fairly decent marks in most subjects,University of Toronto - Mississauga
Nursing Hopefuls for 2018!!,"There has been posts like these in the past years, so I decided to make one for 2018 applicants!","Fanshawe College,Ottawa University,Brock University,University of Western Ontario,Ryerson University,Seneca College of Applied Arts & Technology,Ontario College of Art and Design,Conestoga College,University of Windsor,George Brown College,Trent University,McMaster University,York University,Lakehead University"
4 vs 4+,What's the difference on a rubric. The method for tests and exams are straightforward but I'm wondering just for projects and assignments.,"Academics,Scholarships"
OUAC Applicat - UofT (Please help!),"I’m using 105D form. I’m interested in two majors under the program of Physical and Mathematical Science, do I need to put them all in OUAC application? I know all Year 1 students in this program have to take the same subjects and I can apply a maximum of 3 in each university. I don’t want to waste the quota. Thanks.",University of Toronto
Horatio Alger Scholarship,"Does anyone know what is on the horatio alger support form? Its to be completed by someone over the age of 21 and it says that this person should verify your adversity. I was wondering what else is on it such as reference or questions about who I am as a person? I was thinking of getting my assostant principal to do it for me since I have talked to her about my circumstances however if it contains any other questions about what i am like, my involvement, and my character, she might not be the best to fill it out for me because she does not know all of it.","University of Manitoba,University of Waterloo,Scholarships,High School,University of Winnipeg,University of British Columbia,University of Toronto,Queen's University,McGill University,University of Victoria,University of Alberta"
AMERICAN VS CANADIAN studies.,The American and Canadian systems are totally different. I looked at different tips to get straight A's and none of them worked. Is this TRUE? If the answer is yes how can I GET STRAIGHT A's in Canadian high schools as well? Thanks,"University of Toronto,Harvard University"
Grade 9,"What can I do if I want to get into Harvard in grade 9? It's not the highest expectation, but I at least want to know what Canadian students do to get there.",Harvard University
Queen's Bachelor of Commerce,"Hey guys, I was hoping to get some help in regards to the Queen's commerce program. I am currently enrolled in grade 13, I chose to do an extra year because I had no idea what I wanted to go into. Over the last couple of weeks I got interested in pursuing a career in business. Queen's has always been my dream destination and so I have been looking into the Commerce program. I feel like grades will not be a problem but I feel that where I am seriously lacking is in the extra curricular's department. I haven't been a part of school clubs since grade 9, I have not had work experience and I have only done the 40 required hours of community service. Now that I am typing it up it sounds even worse, anyway, what could I do to improve this? What kind of traits do they look for in the best candidates? What sort of things should I do within school to bolster my applications and what sort of things should I do outside of school? Thank you in advance for taking the time to read over this and any help is appreciated!","Business - Commerce,Queen's University"
Questions about the reason why grade 11 marks are important and U of T or other Canada universities's undergraduate architecture program,"I'm a grade 11 student in alberta, and I am interested in Architecture. So, I am looking for universities which have undergraduate programs of it. I want to learn about designing things. My question is...","University of Toronto,Architecture"
Need help researching university requirements?,,Access Careers
PA AT MCMASTER UNI IN ONTARIO,"Hello everyone! I am a high school student planning my post-secondary plans and I came across the job of a PA. (Physician Assistant) This is a job I am really interested in but know nothing about. I did check McMasters website but I was still a little confused.  Does it matter what my undergrad is in? Like does it have to be sciences or can it be language, arts, math? So after I get my undergrad do I work for 2 years and then apply for the PA program at Mac which is 2 years long. I will definitely do more research but just wanted to know if anyone on here has gone through the process or know about it. Thanks a lot      -M","McMaster University,University of Waterloo"
Nursing? Which university should I go to and will be the most beneficial to me?,,"High School,University of British Columbia,Hospitality,University of Toronto,Canada"
WATERLOO AFM 2018 ACCEPTANCES,"Hey guys, university applications to Waterloo AFM have just begun!","University of Waterloo,Business,Business - Finance,Business - Administration,Business - Accounting"
part-time doctoral student,"Hi,",Grant MacEwan University
Con-ed hopefuls for 2019 :-)),"Hi prospective concurrent education students! Let's use this thread as a space to share information, questions, concerns, advice, and more with one another as the year progresses.

To get the discussion rolling, start off with your:
• programs of interest (both con-ed and not);
• expected average; and
• career goals!

I'm thinking of applying to Queen’s obvi and maybe Trent’s program as well. I have an 89%. I don’t know if I want to be a teacher yet but I’m sure it’s a great fall back! Good luck :-))","A Gathering Place Wellness Education Center,Queen's University,Trent University"
University Application Question,Hi I Graduated highschool in June 2017 and I'm planning on applying for uni soon for admission into 2019 fall semester. As you see it will be a full 2 years being out of highschool. I took a course back in highschool semester one called family studies. Is it still eligible for my application? Do i have to retake it?,Ryerson University
About the UofT cs program.,"I personally think people should know this before going to cs in the university of Toronto. before you can be fortified as a cs student at the university of Toronto they first have to weed out the weak students, also you must pass some courses with a 80% average anything shorter will send your butt out, this is why you must know how to study before you even step foot in the university. Talent does go a long way!! But work ethic will go further. Good luck.",University of Toronto
UTM vs Waterloo vs Guelph,"Hi, I was wondering what university out of UTM, Waterloo or Guelph would be the best for a computer science degree. Also, which one is more likely to help me get a job after graduation... Thanks for your help.","University of Guelph,University of Toronto - Mississauga,University of Waterloo"
Queen’s Health Science?,"So I was on the QueensU website recently and found out that their Health Science program is offered both online and on campus? I thought it was online only so is this a new development from queens? I’m trying to learn more about it but there’s not much online about it (the on campus program), so I’m assuming it’s new. Does anyone know anything about this program? Thank you!","Academics,Queen's University"
CHANCE OF GETTING INTO QUEENS COMMERCE 2019,hey so idk if i really have the ec's for queens commerce but just wanted to see if anyone has any advice...,Business - Commerce
Waterloo Mechatronics/Computer Science/Computer Egineering admission chances for 2019,Hello everyone I am going into grade 12 this coming September and I am very scared and nervous of my chances of getting into certain programs/universities that interest me. I am hugely interested in the mechatronics egineering program at University of Waterloo but I would also like to get into computer science or computer egineering program at Waterloo if I were not admitted for mechatronics. Could someone please tell me if I have weak/decent/strong extracurriculars and what would be a good enough average to get into one of the three programs I mentioned.,"Electrical Engineering,University of Waterloo,Engineering - Mechanical,Computer Science,Computer Engineering"
AMA!,Hey Guys!,Biological and Biomedical Sciences - Neuroscience
Is SHAD worth it?,"Hi there, I was just wondering if any of you have any experiences with SHAD. I'm interested in applying, but the cost is like $5700. Do you think it was really worth the money or should I just save up for university?","Academics,University of Waterloo,High School"
How do I get a 100?I know american students did it but how can a Canadian?,How do I get a 100? I know American students did it but how can a Canadian?,Harvard University
Business programs that might not need calc 12?,Hi I just started grade 12 in Bc and I was wondering if anyone could give me some advice.,"BBA,Stress Management,High School,Business"
Which undergraduate degree is best if you plan on going to law school afterwards?,I know...the most asked question ever. I was thinking that business would be a pretty fair degree considering the skills that you will build over the course of your undergraduate degree. I was wondering what the other options were because I am seriously considering it. Thanks for your replies in advance!,"Law - Administration, Court Reporting,Law - Administration, Office Support"
OUAC - Early Admission,"My grade 11 English mark was not the greatest but my mark greatly improved when I took grade 12 English online. When the first round of university acceptances based on grade 11 marks are sent out, will they be looking at my grade 11 mark or is there any chance they will look at my grade 12 English mark instead? For reference, I live in Ontario (therefore applying through OUAC) and my main goal is to study accounting at uOttawa Telfer or Carleton Sprott.","Carleton University,University of Ottawa"
English Proficiency Test Exemption,"My situation: I arrived in Canada nearly three years ago and entered secondary school a month after the 2nd semester started as a grade 10 student. I was told by We Welcome the World in Peel to repeat grade 9 English which I did. With my year off I have more time to prepare for post-secondary and I'm looking over admission requirements (specifically the English Language section) in Ontario Universities. They require a student to be educated fully for four years in a Canadian high school or countries that are exempted from the English Proficiency Examination (ie Jamaica, US, UK).","Ontario Schools,Academics,General,High School"
University of Toronto - Human Biology?,"Hello,",University of Toronto
Western med sci,"hey guys,","Medical Sciences,University of Western Ontario"
WESTERN MEDICAL SCIENCES,"HEY GUYS!!!!,","Medical Sciences,University of Western Ontario"
Best Business Schools in Ontario for Bachelor of Business Administration,"Hi,",Business - Administration
Ask me Anything: Ivey HBA Transfer 2018 from another university,Not going to say my university of transfer.,"Business,University of Ottawa,Business - Management,Ryerson University,Carleton University,Wilfrid Laurier University,McMaster University,Brock University,Computer Science,Queen's University,Mathematics,University of Waterloo,BBA,Canada,Business - Finance,University of Guelph,University of Western Ontario,Finance,Business - Accounting,University of Toronto,York University"
EXCHANGE ABROAD?,"What's everyone's thoughts on exchange programs? Personal experiences, costs, practicality in timely degree completion, full yr vs semester?","Travel,University of Alberta"
UWaterloo Architecture! Ask Me ANYTHING!,"Hey there. Its application and acceptance season again! I remember this forum really helped me a lot when I was doing apps so I thought I would post one of these. I'm currently a student at Waterloo in the archi program. Just started 1st year so the application process for me was not too long ago. I still remember a lot of the details! I also got into the University of Toronto & Ryerson architecture program. If you have any questions about the application process of those programs, I can answer them as well.","University of Waterloo,Architecture"
WATERLOO AFM 2019 ACCEPTANCE,"Hey guys, I'm planning to apply to the AFM program and I wanted to know what I could be doing to better my chances of getting into the program. It would also be really helpful if you guys put some input in about what you think my chances are of getting in, from current students.","University of Waterloo,Business,Business - Management,Business - Accounting,Business - Finance"
Can I get in to Western?,"Hi, I’m currently a grade 12 student scheduled to graduate in 2019. I want to get into western for life sciences, either the general or medical science program. Im really anxious about whether or not I can get in. These are my marks so far in grade 11, and the ones I expect for grade 12:","Medical Sciences,Western University of Health Sciences"
Blasting,Im wondering about bursaries for blasting and women in trades,Trades - Blasting
Are SHSM and EHS courses in Grade 9-12 hard or more difficult than regular track?,I am a Grade 8 IB MYP student in Ontario and I was wondering will SHSM and EHS courses in high school more difficult than other courses that are available. (i.e. Regular Track) I read in many places that these courses don't increase your chances of getting into a university and I don't want to go to a school which has SHSM and get a lower average vs a non-SHSM school with a higher average. Please tell me as quick as possible. Thanks :),High School
Fanshawe Bachelor of Environmental Design and Planning,anyone have experience with this program? how was it? are the job prospects good?,"Fanshawe College,Architecture - Environmental Design"
Applying,"So I'm a Canadian student who is not currently residing in Canada but I intend to apply to Canada. I am taking full IB but my predicted grades just about the requirement on the websites for the universities I'm applying for (UofT, UBC). My predicted is a 28 and I want to go on to study Political Science. My predicted are what they are but I'm very active in my school. I have a part of the MUN team (and have won best delegate), I am the club leader for TED-ED, and I am Head Girl. Is it right for me to worry about not getting in? What other things (along with improving my grades) could make me a stronger applicant?","University of Toronto - Scarborough,University of British Columbia"
Why is yconic so slow?,"Not just recently, but always. Are they running it off of a 486 SX?",P & A Scholars Beauty School
undecided major help,"So i am currently going to york for undeclared major, but I am planning on going to night school to fix 1-2 of my grades and then apply to another university. The problem is, when applying through OUAC, i dont know which to pick 101 or 105. Also the people from york told me when I apply the universites are not going to look at my gpa from the undelcared major is that true. Also if I end up staying in undelcared major how does one declare a major next year, do they look at my marks or something how does it work I cant find answers online. The help would be awesome thank you.",York University
Nursing Hopefuls for 2019 :),"Hi prospective nursing students! Let's use this thread as a space to share information, questions, concerns, advice, and more with one another as the year progresses.","Ryerson University,Health Professions and Clinical Sciences - Nursing,Brock University,University of Toronto,Lakehead University,Laurentian University,McMaster University,University of Western Ontario,Nipissing University,University of Ottawa,Queen's University,Trent University,University of Ontario Institute of Technology,York University,University of Windsor"
WESTERN HEALTH SCIENCE,I was wondering if the program health science at Western gives you the pre-requisites required for applying to medicine or dentistry?,"University of Western Ontario,Western University of Health Sciences,Courses,Academics"
SHAD 2019,Hello there! I am really interested in SHAD. The application process is soon. Are there any people who did SHAD in the last few years that would like to share any tips or tricks on how they got accepted?,University of Toronto
Grade 12 NEED HELP!!!! PLEASE,"So I have struggled with my courses this semester, I started with this:",Business - Masters of Business Administration (MBA)
Queens Science Undergrad,"So I am currently in full on stress mode for University. I really want to get into Queens Science but I am scared that they might not accept me because reading the forums here in last years acceptances, everyone was talking about their wonderful 90+ averages in grade 12 and I will try my hardest to get the best grades I can but when being reasonable, I know I wont get anything higher than dead on 90. (And just to let you know, I'm hoping to go into medical and become a Psychiatrist, I have always loved Psychology and learning about the brain).",Queen's University
Laurier 2nd year (co-op) - ask me anything :),Title is self-explanatory :),"Wilfrid Laurier University,BBA,Business - Co-operatives Studies"
RSM 100 is killing..,"For those in rotman, how did you guys do during the midterm? I woke up and saw a big fat 70% and I freaked out. I know the passing grade is 67% but I am also sure I did not do that bad to get a 70%. MC was pretty straightforward, I put stars on those I'm not sure or was even hesitant about the answer, there were merely 15 of them. For short answer, it was out of 20, but I went to class (listened to what Khan said) and I'm sure I will be able to get over 10/20. Adding all of these up isn't even a 70, more like 72 but that's worst case scenario already, pretty sure I did better than that.",University of Toronto
Questions for a recently admitted Nursing Student At MCMASTER,"Hi there. I was in the same boat as you guys like 8 months ago lol. I applied to many nursing programs and got into every single one of them. I ended up at Mcmaster main! But I applied to Western main, Western Fanshawe, Ryerson main, Ottawa,  York, and Brock. Ask away on any admissions for any of these schools.","University of Ottawa,Fanshawe College,University of Toronto,Brock University,York University,Ryerson University,University of Toronto - Mississauga,University of Western Ontario,University of Waterloo,McMaster University"
Canada's Luckiest Student,Has anyone entered this contest?,Money
Ask me about Univeristy apply or university life!! (Im current UBC Science student),"Hi yall,",University of British Columbia
Applying to Schulich,"This might be a stupid question, but does Schulich really only accept applications that are directly from high school? I'm a 105D applicant and on OUAC that's what it says. Seems kinda ridiculous since this is the first program I've heard of that only takes 101 applicants.","York University - Schulich School of Business,York University"
